initial_nav,slippage,period_name,variant_name,symbol,signal_date,entry_date,entry_price,shares,entry_type,smh_healthy_on_signal,rs20_on_signal,volume_ratio_on_signal,ranking_mode,ranking_score,entry_gap,profit_lock_date,profit_lock_stop,partial_exit_status,partial_exit_date,partial_exit_price,partial_exit_shares,partial_exit_pnl,exit_date,exit_price,exit_reason,pnl,return
6000.0,0.001,development_2024_2025,RSR2,TTMI,2024-10-16,2024-10-17,20.290270458221432,23,normal,True,0.05925821792471986,1.6277370613357838,formal_composite,7.55355885380777,0.006954858561044164,,,,,,0,0.0,2024-10-22,19.25073045730591,signal,-25.90942002105703,-0.05540033656445286
6000.0,0.001,development_2024_2025,RSR2,NOK,2024-10-18,2024-10-21,4.59639241140037,104,normal,True,0.05260410827980411,2.684802454304195,formal_composite,7.945213282284605,8.666088580078224e-08,,,,,,0,0.0,2024-11-07,4.463442289010513,signal,-15.826812728545121,-0.033039651333691675
6000.0,0.001,development_2024_2025,RSR2,MRVL,2024-11-06,2024-11-07,91.39130630876161,5,normal,True,0.24659654127131214,1.4018545821037263,formal_composite,26.061508709234943,0.01202702133532374,2024-12-04,95.9608716241997,,,,0,0.0,2024-12-09,111.09721993248507,signal,96.52956811861736,0.21078325445694263
6000.0,0.001,development_2024_2025,RSR2,LITE,2024-11-06,2024-11-07,73.14306969451904,6,normal,True,0.06471914158678838,3.1480530386243246,formal_composite,9.619967197303161,0.015284124711181235,2024-11-11,76.800223179245,,,,0,0.0,2024-12-09,93.28661725616453,signal,118.86128536987303,0.2702262374906154
6000.0,0.001,development_2024_2025,RSR2,COHR,2024-11-07,2024-11-08,108.81870908355712,4,normal,True,0.08020589339469852,2.759879486104097,formal_composite,10.78046882557395,-0.0067610587885121864,,,,,,0,0.0,2024-11-14,100.01309914451568,stop,-37.222439756165784,-0.08531878682008104
6000.0,0.001,development_2024_2025,RSR2,TER,2024-12-13,2024-12-16,127.39127579622715,3,normal,True,0.1527838396047143,1.7190458489036131,formal_composite,16.997429809375042,0.038143111228213566,,,,,,0,0.0,2025-01-17,139.14279627465027,signal,33.25456143526935,0.08678714217486676
6000.0,0.001,development_2024_2025,RSR2,META,2025-01-24,2025-01-27,624.1515457688685,1,normal,True,0.03002585423898596,1.7203991551993993,formal_composite,4.722984579097996,-0.03224775320573425,2025-02-12,655.3591230573119,,,,0,0.0,2025-02-21,692.4608383688153,signal,66.30929259994684,0.10606914923067753
6000.0,0.001,development_2024_2025,RSR2,INTC,2025-02-12,2025-02-13,22.862840152740475,21,normal,True,0.15832514102223438,2.0477640622514173,formal_composite,17.880278164474856,0.016014262352415987,2025-02-18,24.0059821603775,,,,0,0.0,2025-02-24,23.98197617821712,profit_lock,21.50185653500955,0.04469128799576756
6000.0,0.001,development_2024_2025,RSR2,MU,2025-06-03,2025-06-04,102.22193788042377,4,normal,True,0.12816598934854562,1.2734538019346675,formal_composite,14.090052736789229,0.0012713738545049313,2025-06-16,107.33303477444495,,,,0,0.0,2025-07-07,120.8648261777079,signal,72.57155318913652,0.1770522610634667
6000.0,0.001,development_2024_2025,RSR2,WDC,2025-06-05,2025-06-06,55.81465130784074,8,normal,True,0.10281018658558994,1.777675254352524,formal_composite,12.058693912911517,0.01562220111287016,2025-07-02,58.60538387323278,,,,0,0.0,2025-07-09,64.10193556292896,signal,64.29827404070573,0.14367776822308645
