universe,theme,symbol,signal_date,entry_date,entry_price,shares,entry_type,smh_healthy_on_signal,rs20_on_signal,volume_ratio_on_signal,entry_gap,exit_date,exit_price,exit_reason,pnl,return
all_35,pcb_electronics_manufacturing,TTMI,2024-10-16,2024-10-17,20.290270458221432,23,normal,True,0.05925821792471986,1.6277370613357838,0.006954858561044164,2024-10-22,19.25073045730591,signal,-25.90942002105703,-0.05540033656445286
all_35,network_infrastructure,NOK,2024-10-18,2024-10-21,4.59639241140037,104,normal,True,0.05260410827980411,2.684802454304195,8.666088580078224e-08,2024-11-07,4.463442289010513,signal,-15.826812728545121,-0.033039651333691675
all_35,interconnect_custom_silicon,MRVL,2024-11-06,2024-11-07,91.39130630876161,5,normal,True,0.24659654127131214,1.4018545821037263,0.01202702133532374,2024-12-09,111.09721993248507,signal,96.52956811861736,0.21078325445694263
all_35,optical_interconnect,LITE,2024-11-06,2024-11-07,73.14306969451904,6,normal,True,0.06471914158678838,3.1480530386243246,0.015284124711181235,2024-12-09,93.28661725616453,signal,118.86128536987303,0.2702262374906154
all_35,optical_interconnect,COHR,2024-11-07,2024-11-08,108.81870908355712,4,normal,True,0.08020589339469852,2.759879486104097,-0.0067610587885121864,2024-11-14,100.01309914451568,stop,-37.222439756165784,-0.08531878682008104
all_35,semiconductor_test,TER,2024-12-13,2024-12-16,127.39127579622715,3,normal,True,0.1527838396047143,1.7190458489036131,0.038143111228213566,2025-01-17,139.14279627465027,signal,33.25456143526935,0.08678714217486676
all_35,ai_infrastructure_memory_cxl_demand,META,2025-01-24,2025-01-27,624.1515457688685,1,normal,True,0.03002585423898596,1.7203991551993993,-0.03224775320573425,2025-02-21,692.4608383688153,signal,66.30929259994684,0.10606914923067753
all_35,consumer_defensive_beverages,KO,2025-02-11,2025-02-12,64.16035428141562,7,normal,True,0.07513403853430178,1.9818299910429533,-0.010798768148069904,2025-03-13,67.26872215531374,signal,19.758575117286796,0.04389599719304767
all_35,memory_storage,MU,2025-06-03,2025-06-04,102.22193788042377,4,normal,True,0.12816598934854562,1.2734538019346675,0.0012713738545049313,2025-07-07,120.8648261777079,signal,72.57155318913652,0.1770522610634667
all_35,memory_storage,WDC,2025-06-05,2025-06-06,55.81465130784074,8,normal,True,0.10281018658558994,1.777675254352524,0.01562220111287016,2025-07-09,64.10193556292896,signal,64.29827404070573,0.14367776822308645
all_35,semiconductor_equipment,KLAC,2025-06-09,2025-06-10,82.48033538898751,6,normal,True,0.03529567925839605,1.3094071376298344,4.2374546094237076e-08,2025-07-11,91.86536976047829,signal,54.310206228944594,0.10952243654357904
all_35,optical_interconnect,LITE,2025-07-15,2025-07-16,98.1980984725952,5,normal,True,0.05851907338361295,1.6159170396458533,-0.0004075903380489354,2025-08-14,117.19268756103517,signal,92.97294544219983,0.18897305310852863
all_35,memory_storage,WDC,2025-07-23,2025-07-24,69.0819847411973,7,normal,True,0.06130543969938462,1.2523827595460186,-0.0017311720198082137,2025-08-22,74.50330922145352,signal,35.949271361793535,0.07418738786205725
all_35,ai_power_nuclear_generation,CEG,2025-07-30,2025-07-31,348.00002547256435,1,normal,True,0.04726915449153046,1.3536050591358055,0.012193366427526664,2025-08-12,330.9769778783613,signal,-19.023047594203035,-0.054507295718517014
all_35,optical_network,GLW,2025-08-28,2025-08-29,67.96451310413542,7,normal,True,0.05499997085732633,1.4241604990411723,-0.004224266504745833,2025-09-30,79.6362386835006,signal,79.70207905555628,0.16717737379022754
all_35,network_infrastructure,NOK,2025-09-04,2025-09-05,4.54453996181488,115,normal,True,0.10520080259704767,2.853243812887454,-0.013043466092057199,2025-09-30,4.705290038108826,signal,16.48625877380391,0.03148503264484785
all_35,memory_storage,MU,2025-09-05,2025-09-08,130.47115444503285,4,normal,True,0.16688975317568056,1.5987176951819895,-0.006241799689386984,2025-10-07,194.4649377694192,signal,253.97513329754543,0.485719267045526
all_35,network_infrastructure,NOK,2025-10-10,2025-10-13,5.2752699809074395,104,normal,True,0.1105289202279982,1.4798952658858116,-0.00939853178975536,2025-11-11,6.8931000952720645,signal,166.25433189392095,0.3024851504940275
