initial_nav,period,architecture,symbol,entry_date,exit_date,source_pnl,source_return
5751.77,train_2024_2025,challenger_80_20,TTMI,2024-10-17,2024-10-22,-24.869880020141522,-0.05558931838526876
5751.77,train_2024_2025,challenger_80_20,NOK,2024-10-21,2024-11-07,-15.162062116595848,-0.03324701211490298
5751.77,train_2024_2025,challenger_80_20,MRVL,2024-11-07,2024-12-09,76.82365449489384,0.2095770389720779
5751.77,train_2024_2025,challenger_80_20,LITE,2024-11-07,2024-12-09,118.86128536987303,0.2702262374906154
5751.77,train_2024_2025,challenger_80_20,TER,2024-12-16,2025-01-17,33.25456143526935,0.08678714217486676
5751.77,train_2024_2025,challenger_80_20,META,2025-01-27,2025-02-21,66.30929259994684,0.10606914923067753
5751.77,train_2024_2025,challenger_80_20,INTC,2025-02-13,2025-02-24,21.50185653500955,0.04469128799576756
5751.77,train_2024_2025,challenger_80_20,MU,2025-06-04,2025-07-07,72.57155318913652,0.1770522610634667
5751.77,train_2024_2025,challenger_80_20,WDC,2025-06-06,2025-07-09,64.29827404070573,0.14367776822308645
5751.77,train_2024_2025,challenger_80_20,LITE,2025-07-16,2025-08-14,92.97294544219983,0.18897305310852863
5751.77,train_2024_2025,challenger_80_20,WDC,2025-07-24,2025-08-22,35.949271361793535,0.07418738786205725
5751.77,train_2024_2025,challenger_80_20,GLW,2025-08-29,2025-09-30,79.70207905555628,0.16717737379022754
5751.77,train_2024_2025,challenger_80_20,NOK,2025-09-05,2025-09-30,15.68250839233417,0.03130869895999492
5751.77,train_2024_2025,challenger_80_20,NOK,2025-10-13,2025-11-11,153.31169097900397,0.30213610596160506
5751.77,train_2024_2025,challenger_80_20,AVGO,2025-10-30,2025-11-04,-33.12433076123233,-0.08589646869715016
5751.77,train_2024_2025,challenger_80_20,TSLA,2025-12-15,2025-12-30,-11.280536102294889,-0.02395478851252809
6000.0,heldout_2026,formal_70_25,KLAC,2026-01-06,2026-01-30,18.07667937105589,0.043966498582437195
6000.0,heldout_2026,formal_70_25,TER,2026-01-06,2026-02-05,86.49623684090449,0.19525547158228646
6000.0,heldout_2026,formal_70_25,META,2026-07-10,2026-07-23,-55.48814968811769,-0.0838189107801222
5751.77,heldout_2026,formal_70_25,KLAC,2026-01-06,2026-01-30,18.07667937105589,0.043966498582437195
5751.77,heldout_2026,formal_70_25,TER,2026-01-06,2026-02-05,86.49623684090449,0.19525547158228646
5751.77,heldout_2026,formal_70_25,META,2026-07-10,2026-07-23,-55.48814968811769,-0.0838189107801222
6000.0,heldout_2026,challenger_80_20,KLAC,2026-01-06,2026-01-30,18.07667937105589,0.043966498582437195
6000.0,heldout_2026,challenger_80_20,TER,2026-01-06,2026-02-05,86.49623684090449,0.19525547158228646
6000.0,heldout_2026,challenger_80_20,META,2026-07-10,2026-07-23,-55.48814968811769,-0.0838189107801222
5751.77,heldout_2026,challenger_80_20,KLAC,2026-01-06,2026-01-30,18.07667937105589,0.043966498582437195
5751.77,heldout_2026,challenger_80_20,TER,2026-01-06,2026-02-05,86.49623684090449,0.19525547158228646
5751.77,heldout_2026,challenger_80_20,META,2026-07-10,2026-07-23,-55.48814968811769,-0.0838189107801222
6000.0,full_2024_2026,formal_70_25,TTMI,2024-10-17,2024-10-22,-25.90942002105703,-0.05540033656445286
6000.0,full_2024_2026,formal_70_25,NOK,2024-10-21,2024-11-07,-15.826812728545121,-0.033039651333691675
6000.0,full_2024_2026,formal_70_25,MRVL,2024-11-07,2024-12-09,96.52956811861736,0.21078325445694263
6000.0,full_2024_2026,formal_70_25,LITE,2024-11-07,2024-12-09,118.86128536987303,0.2702262374906154
6000.0,full_2024_2026,formal_70_25,COHR,2024-11-08,2024-11-14,-37.222439756165784,-0.08531878682008104
6000.0,full_2024_2026,formal_70_25,TER,2024-12-16,2025-01-17,33.25456143526935,0.08678714217486676
6000.0,full_2024_2026,formal_70_25,META,2025-01-27,2025-02-21,66.30929259994684,0.10606914923067753
6000.0,full_2024_2026,formal_70_25,INTC,2025-02-13,2025-02-24,21.50185653500955,0.04469128799576756
6000.0,full_2024_2026,formal_70_25,MU,2025-06-04,2025-07-07,72.57155318913652,0.1770522610634667
6000.0,full_2024_2026,formal_70_25,WDC,2025-06-06,2025-07-09,64.29827404070573,0.14367776822308645
6000.0,full_2024_2026,formal_70_25,KLAC,2025-06-10,2025-07-11,54.310206228944594,0.10952243654357904
6000.0,full_2024_2026,formal_70_25,LITE,2025-07-16,2025-08-14,92.97294544219983,0.18897305310852863
6000.0,full_2024_2026,formal_70_25,WDC,2025-07-24,2025-08-22,35.949271361793535,0.07418738786205725
6000.0,full_2024_2026,formal_70_25,CEG,2025-07-31,2025-08-12,-19.023047594203035,-0.054507295718517014
6000.0,full_2024_2026,formal_70_25,GLW,2025-08-29,2025-09-30,79.70207905555628,0.16717737379022754
6000.0,full_2024_2026,formal_70_25,NOK,2025-09-05,2025-09-30,16.48625877380391,0.03148503264484785
6000.0,full_2024_2026,formal_70_25,MU,2025-09-08,2025-10-07,253.97513329754543,0.485719267045526
6000.0,full_2024_2026,formal_70_25,NOK,2025-10-13,2025-11-11,166.25433189392095,0.3024851504940275
6000.0,full_2024_2026,formal_70_25,AVGO,2025-10-30,2025-11-04,-33.12433076123233,-0.08589646869715016
6000.0,full_2024_2026,formal_70_25,TSLA,2025-12-15,2025-12-30,-11.280536102294889,-0.02395478851252809
6000.0,full_2024_2026,formal_70_25,KLAC,2026-01-06,2026-01-30,24.768905828074594,0.045210099869915726
6000.0,full_2024_2026,formal_70_25,TER,2026-01-06,2026-02-05,86.49623684090449,0.19525547158228646
6000.0,full_2024_2026,formal_70_25,META,2026-07-10,2026-07-23,-55.48814968811769,-0.0838189107801222
5751.77,full_2024_2026,formal_70_25,TTMI,2024-10-17,2024-10-22,-24.869880020141522,-0.05558931838526876
5751.77,full_2024_2026,formal_70_25,NOK,2024-10-21,2024-11-07,-15.162062116595848,-0.03324701211490298
5751.77,full_2024_2026,formal_70_25,MRVL,2024-11-07,2024-12-09,76.82365449489384,0.2095770389720779
5751.77,full_2024_2026,formal_70_25,LITE,2024-11-07,2024-12-09,118.86128536987303,0.2702262374906154
5751.77,full_2024_2026,formal_70_25,COHR,2024-11-08,2024-11-14,-37.222439756165784,-0.08531878682008104
5751.77,full_2024_2026,formal_70_25,TER,2024-12-16,2025-01-17,33.25456143526935,0.08678714217486676
5751.77,full_2024_2026,formal_70_25,META,2025-01-27,2025-02-21,66.30929259994684,0.10606914923067753
5751.77,full_2024_2026,formal_70_25,INTC,2025-02-13,2025-02-24,20.38272050953293,0.0444788170599075
5751.77,full_2024_2026,formal_70_25,MU,2025-06-04,2025-07-07,72.57155318913652,0.1770522610634667
5751.77,full_2024_2026,formal_70_25,WDC,2025-06-06,2025-07-09,64.29827404070573,0.14367776822308645
5751.77,full_2024_2026,formal_70_25,KLAC,2025-06-10,2025-07-11,44.925171857453904,0.10867196328145919
5751.77,full_2024_2026,formal_70_25,LITE,2025-07-16,2025-08-14,92.97294544219983,0.18897305310852863
5751.77,full_2024_2026,formal_70_25,WDC,2025-07-24,2025-08-22,35.949271361793535,0.07418738786205725
5751.77,full_2024_2026,formal_70_25,CEG,2025-07-31,2025-08-12,-19.023047594203035,-0.054507295718517014
5751.77,full_2024_2026,formal_70_25,GLW,2025-08-29,2025-09-30,79.70207905555628,0.16717737379022754
5751.77,full_2024_2026,formal_70_25,NOK,2025-09-05,2025-09-30,15.68250839233417,0.03130869895999492
5751.77,full_2024_2026,formal_70_25,MU,2025-09-08,2025-10-07,189.98134997315913,0.48413565721858526
5751.77,full_2024_2026,formal_70_25,NOK,2025-10-13,2025-11-11,158.16518132209785,0.30227359571930007
5751.77,full_2024_2026,formal_70_25,AVGO,2025-10-30,2025-11-04,-33.12433076123233,-0.08589646869715016
5751.77,full_2024_2026,formal_70_25,TSLA,2025-12-15,2025-12-30,-11.280536102294889,-0.02395478851252809
5751.77,full_2024_2026,formal_70_25,KLAC,2026-01-06,2026-01-30,18.07667937105589,0.043966498582437195
5751.77,full_2024_2026,formal_70_25,TER,2026-01-06,2026-02-05,86.49623684090449,0.19525547158228646
5751.77,full_2024_2026,formal_70_25,META,2026-07-10,2026-07-23,-55.48814968811769,-0.0838189107801222
6000.0,full_2024_2026,challenger_80_20,TTMI,2024-10-17,2024-10-22,-25.90942002105703,-0.05540033656445286
6000.0,full_2024_2026,challenger_80_20,NOK,2024-10-21,2024-11-07,-15.826812728545121,-0.033039651333691675
6000.0,full_2024_2026,challenger_80_20,MRVL,2024-11-07,2024-12-09,96.52956811861736,0.21078325445694263
6000.0,full_2024_2026,challenger_80_20,LITE,2024-11-07,2024-12-09,118.86128536987303,0.2702262374906154
6000.0,full_2024_2026,challenger_80_20,TER,2024-12-16,2025-01-17,33.25456143526935,0.08678714217486676
6000.0,full_2024_2026,challenger_80_20,META,2025-01-27,2025-02-21,66.30929259994684,0.10606914923067753
6000.0,full_2024_2026,challenger_80_20,INTC,2025-02-13,2025-02-24,21.50185653500955,0.04469128799576756
6000.0,full_2024_2026,challenger_80_20,MU,2025-06-04,2025-07-07,72.57155318913652,0.1770522610634667
6000.0,full_2024_2026,challenger_80_20,WDC,2025-06-06,2025-07-09,72.58555829579393,0.14421014008622515
6000.0,full_2024_2026,challenger_80_20,LITE,2025-07-16,2025-08-14,92.97294544219983,0.18897305310852863
6000.0,full_2024_2026,challenger_80_20,WDC,2025-07-24,2025-08-22,35.949271361793535,0.07418738786205725
6000.0,full_2024_2026,challenger_80_20,GLW,2025-08-29,2025-09-30,79.70207905555628,0.16717737379022754
6000.0,full_2024_2026,challenger_80_20,NOK,2025-09-05,2025-09-30,16.48625877380391,0.03148503264484785
6000.0,full_2024_2026,challenger_80_20,NOK,2025-10-13,2025-11-11,159.78301143646252,0.3023175959102642
6000.0,full_2024_2026,challenger_80_20,AVGO,2025-10-30,2025-11-04,-33.12433076123233,-0.08589646869715016
6000.0,full_2024_2026,challenger_80_20,TSLA,2025-12-15,2025-12-30,-11.280536102294889,-0.02395478851252809
6000.0,full_2024_2026,challenger_80_20,KLAC,2026-01-06,2026-01-30,18.07667937105589,0.043966498582437195
6000.0,full_2024_2026,challenger_80_20,TER,2026-01-06,2026-02-05,86.49623684090449,0.19525547158228646
6000.0,full_2024_2026,challenger_80_20,META,2026-07-10,2026-07-23,-55.48814968811769,-0.0838189107801222
5751.77,full_2024_2026,challenger_80_20,TTMI,2024-10-17,2024-10-22,-24.869880020141522,-0.05558931838526876
5751.77,full_2024_2026,challenger_80_20,NOK,2024-10-21,2024-11-07,-15.162062116595848,-0.03324701211490298
5751.77,full_2024_2026,challenger_80_20,MRVL,2024-11-07,2024-12-09,76.82365449489384,0.2095770389720779
5751.77,full_2024_2026,challenger_80_20,LITE,2024-11-07,2024-12-09,118.86128536987303,0.2702262374906154
5751.77,full_2024_2026,challenger_80_20,TER,2024-12-16,2025-01-17,33.25456143526935,0.08678714217486676
5751.77,full_2024_2026,challenger_80_20,META,2025-01-27,2025-02-21,66.30929259994684,0.10606914923067753
5751.77,full_2024_2026,challenger_80_20,INTC,2025-02-13,2025-02-24,21.50185653500955,0.04469128799576756
5751.77,full_2024_2026,challenger_80_20,MU,2025-06-04,2025-07-07,72.57155318913652,0.1770522610634667
5751.77,full_2024_2026,challenger_80_20,WDC,2025-06-06,2025-07-09,64.29827404070573,0.14367776822308645
5751.77,full_2024_2026,challenger_80_20,LITE,2025-07-16,2025-08-14,92.97294544219983,0.18897305310852863
5751.77,full_2024_2026,challenger_80_20,WDC,2025-07-24,2025-08-22,35.949271361793535,0.07418738786205725
5751.77,full_2024_2026,challenger_80_20,GLW,2025-08-29,2025-09-30,79.70207905555628,0.16717737379022754
5751.77,full_2024_2026,challenger_80_20,NOK,2025-09-05,2025-09-30,15.68250839233417,0.03130869895999492
5751.77,full_2024_2026,challenger_80_20,NOK,2025-10-13,2025-11-11,153.31169097900397,0.30213610596160506
5751.77,full_2024_2026,challenger_80_20,AVGO,2025-10-30,2025-11-04,-33.12433076123233,-0.08589646869715016
5751.77,full_2024_2026,challenger_80_20,TSLA,2025-12-15,2025-12-30,-11.280536102294889,-0.02395478851252809
5751.77,full_2024_2026,challenger_80_20,KLAC,2026-01-06,2026-01-30,18.07667937105589,0.043966498582437195
5751.77,full_2024_2026,challenger_80_20,TER,2026-01-06,2026-02-05,86.49623684090449,0.19525547158228646
5751.77,full_2024_2026,challenger_80_20,META,2026-07-10,2026-07-23,-55.48814968811769,-0.0838189107801222
